Date,Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-04 00:00:00-03:00,TOTS3.SA,26.332124397790135,26.60830307006836,26.17022699387097,26.60830307006836,1429200,0.0,0.0
2023-09-05 00:00:00-03:00,TOTS3.SA,26.551160152242854,26.694012184401313,26.28450690061702,26.408309936523438,3448200,0.0,0.0
2023-09-06 00:00:00-03:00,TOTS3.SA,26.351173423232165,26.570210568444388,26.284510102205772,26.4368839263916,5179600,0.0,0.0
2023-09-08 00:00:00-03:00,TOTS3.SA,26.370216171887165,26.53211355992061,26.12260829510431,26.37973976135254,4111700,0.0,0.0
2023-09-11 00:00:00-03:00,TOTS3.SA,26.446403804582904,26.846385491026126,26.21784310039235,26.694011688232422,10174700,0.0,0.0
2023-09-12 00:00:00-03:00,TOTS3.SA,26.694012699670708,27.332078704210335,26.636871159128717,27.255891799926758,2581700,0.0,0.0
2023-09-13 00:00:00-03:00,TOTS3.SA,27.160657943528587,27.85586367800872,27.074947448434973,27.33207893371582,8856300,0.0,0.0
2023-09-14 00:00:00-03:00,TOTS3.SA,27.32255349085676,27.81776743105927,27.32255349085676,27.674917221069336,5292100,0.0,0.0
2023-09-15 00:00:00-03:00,TOTS3.SA,27.827291395942513,28.284414617090942,27.77967526411657,28.09394645690918,6460600,0.0,0.0
2023-09-18 00:00:00-03:00,TOTS3.SA,28.074899816938444,28.141563129351002,26.941619873046875,26.941619873046875,3485500,0.0,0.0
2023-09-19 00:00:00-03:00,TOTS3.SA,26.865429554659837,27.084468474965778,25.532157936481095,25.617868423461914,11595400,0.0,0.0
2023-09-20 00:00:00-03:00,TOTS3.SA,25.68453518492231,26.398788128160366,25.46549805160804,25.72262954711914,6217200,0.0,0.0
2023-09-21 00:00:00-03:00,TOTS3.SA,25.370262738571736,25.551207317398706,25.075038711545997,25.084562301635742,4832900,0.0,0.0
2023-09-22 00:00:00-03:00,TOTS3.SA,25.275030701105095,25.379786560169673,25.09408612062759,25.160749435424805,2757300,0.0,0.0
2023-09-25 00:00:00-03:00,TOTS3.SA,25.189320774501503,25.713105530964004,25.151226412935216,25.65596580505371,3293000,0.0,0.0
2023-09-26 00:00:00-03:00,TOTS3.SA,25.541682224868687,25.751197561640556,25.008373926287433,25.15122413635254,3629300,0.0,0.0
2023-09-27 00:00:00-03:00,TOTS3.SA,25.189321517944336,25.360740700734524,24.998853337369653,25.189321517944336,4790500,0.0,0.0
2023-09-28 00:00:00-03:00,TOTS3.SA,25.18932091472366,25.494068543193862,24.884571469814308,25.475021362304688,3050900,0.0,0.0
2023-09-29 00:00:00-03:00,TOTS3.SA,25.627395656229055,26.084517107490683,25.522637975816906,25.713106155395508,4040400,0.0,0.0
2023-10-02 00:00:00-03:00,TOTS3.SA,25.751200372486753,26.036900823802313,25.5607321939836,25.89405059814453,2873700,0.0,0.0
2023-10-03 00:00:00-03:00,TOTS3.SA,25.770244203643454,25.875001877230158,24.998851577844334,25.00837516784668,2365800,0.0,0.0
2023-10-04 00:00:00-03:00,TOTS3.SA,24.94171195265236,25.63691767761405,24.779814554852056,25.52263641357422,2778500,0.0,0.0
2023-10-05 00:00:00-03:00,TOTS3.SA,25.360740462761438,25.646442730942567,25.094087192186056,25.370264053344727,1975900,0.0,0.0
2023-10-06 00:00:00-03:00,TOTS3.SA,25.017901135822207,25.370264917206047,24.77029322154314,25.246461868286133,1977300,0.0,0.0
2023-10-09 00:00:00-03:00,TOTS3.SA,24.970282434765977,25.865479972482717,24.970282434765977,25.713106155395508,3353000,0.0,0.0
2023-10-10 00:00:00-03:00,TOTS3.SA,25.77976665702934,26.341645727321154,25.77976665702934,26.189271926879883,1955200,0.0,0.0
2023-10-11 00:00:00-03:00,TOTS3.SA,26.24641204480527,26.54163787700843,25.960711618767576,26.170225143432617,2566500,0.0,0.0
2023-10-13 00:00:00-03:00,TOTS3.SA,26.046421921402025,26.20831931270234,25.332169045036917,25.484542846679688,3229100,0.0,0.0
2023-10-16 00:00:00-03:00,TOTS3.SA,25.713102896565857,25.932140003813476,25.303597633879203,25.59882164001465,2934100,0.0,0.0
2023-10-17 00:00:00-03:00,TOTS3.SA,25.40835864090215,25.922619821884012,25.284553778661145,25.44645118713379,4690400,0.0,0.0
2023-10-18 00:00:00-03:00,TOTS3.SA,25.265506987289097,25.332170301760087,24.760767609033046,24.817907333374023,3469400,0.0,0.0
2023-10-19 00:00:00-03:00,TOTS3.SA,24.817905660349364,25.04646635874463,24.570297782978088,24.894092559814453,3009000,0.0,0.0
2023-10-20 00:00:00-03:00,TOTS3.SA,24.522684495027033,24.99885312599843,24.484590132658514,24.503637313842773,2679100,0.0,0.0
2023-10-23 00:00:00-03:00,TOTS3.SA,24.42745000935254,24.798862770664872,24.35126310229037,24.52268409729004,2903300,0.0,0.0
2023-10-24 00:00:00-03:00,TOTS3.SA,24.713151612080853,24.81790747121462,24.32269349677721,24.379833221435547,3735600,0.0,0.0
2023-10-25 00:00:00-03:00,TOTS3.SA,24.427449525053746,24.55125438184968,24.027467816797607,24.28459930419922,3956600,0.0,0.0
2023-10-26 00:00:00-03:00,TOTS3.SA,24.456018641058304,25.265505593047966,24.3988789198705,25.141700744628906,3587800,0.0,0.0
2023-10-27 00:00:00-03:00,TOTS3.SA,24.998854825916748,25.5512104027461,24.34174156188965,24.34174156188965,3071100,0.0,0.0
2023-10-30 00:00:00-03:00,TOTS3.SA,24.465544466797162,24.494113421782757,23.74176793865601,23.913188934326172,2348500,0.0,0.0
2023-10-31 00:00:00-03:00,TOTS3.SA,24.08460568559859,24.37982967253741,23.98937161407157,24.10365104675293,3310600,0.0,0.0
2023-11-01 00:00:00-03:00,TOTS3.SA,24.294122265622555,25.075038481424013,24.113177688456172,25.00837516784668,3499200,0.0,0.0
2023-11-03 00:00:00-03:00,TOTS3.SA,25.313122907624678,26.474973647082997,25.141701919611023,26.389263153076172,4218100,0.0,0.0
2023-11-06 00:00:00-03:00,TOTS3.SA,26.37973976135254,26.494019202059114,25.903571186717578,26.37973976135254,2072300,0.0,0.0
2023-11-07 00:00:00-03:00,TOTS3.SA,26.37021831531428,27.579685212701502,26.236889868400777,27.322555541992188,6276800,0.0,0.0
2023-11-08 00:00:00-03:00,TOTS3.SA,28.274893115937257,29.427220302479434,27.874911403162468,28.865341186523438,16516800,0.0,0.0
2023-11-09 00:00:00-03:00,TOTS3.SA,28.85581692695208,29.56054806547163,28.751061068338974,29.503406524658203,4391300,0.0,0.0
2023-11-10 00:00:00-03:00,TOTS3.SA,29.236751412951204,30.417649268304448,29.046283255194016,30.284320831298828,4915800,0.0,0.0
2023-11-13 00:00:00-03:00,TOTS3.SA,30.18909076847782,31.49379174992826,30.18909076847782,31.141427993774414,10915900,0.0,0.0
2023-11-14 00:00:00-03:00,TOTS3.SA,31.350935433663143,32.046144710168264,30.903339469226584,31.07476043701172,8398300,0.0,0.0
2023-11-16 00:00:00-03:00,TOTS3.SA,31.07476276808226,31.96043662378498,30.66525749575184,31.836631774902344,9614700,0.0,0.0
2023-11-17 00:00:00-03:00,TOTS3.SA,32.04614872310379,32.36041811481203,30.893817932498475,30.979528427124023,8597000,0.0,0.0
2023-11-20 00:00:00-03:00,TOTS3.SA,31.08428706932936,31.455698013305664,30.56050231159667,31.455698013305664,5620700,0.0,0.0
2023-11-21 00:00:00-03:00,TOTS3.SA,31.25570903546574,31.4176082611084,30.47479276158051,31.4176082611084,7733200,0.0,0.0
2023-11-22 00:00:00-03:00,TOTS3.SA,31.398556058481056,32.331846001608845,31.30332016660405,31.817583084106445,6708200,0.0,0.0
2023-11-23 00:00:00-03:00,TOTS3.SA,31.817584016732297,31.817584016732297,31.32236826308971,31.427125930786133,2440500,0.0,0.0
2023-11-24 00:00:00-03:00,TOTS3.SA,31.427126661157207,31.427126661157207,30.646210471116266,30.7890625,3115800,0.0,0.0
2023-11-27 00:00:00-03:00,TOTS3.SA,31.017620702078727,31.636641303073336,30.674778746628046,31.512836456298828,3138300,0.0,0.0
2023-11-28 00:00:00-03:00,TOTS3.SA,31.56998155159462,32.46517726615772,31.474745646080457,31.960439682006836,2727600,0.0,0.0
2023-11-29 00:00:00-03:00,TOTS3.SA,31.9128119595698,32.350889750001485,31.789010762572357,31.88424301147461,3491300,0.0,0.0
2023-11-30 00:00:00-03:00,TOTS3.SA,31.86520137977689,32.065191316997044,31.427127145996163,31.722352981567383,6671700,0.0,0.0
2023-12-01 00:00:00-03:00,TOTS3.SA,31.789018479027675,32.31280324088826,31.427129306174884,32.22709274291992,4222700,0.0,0.0
2023-12-04 00:00:00-03:00,TOTS3.SA,32.169952095153334,32.646120734254495,32.093767001993925,32.53184127807617,3092800,0.0,0.0
2023-12-05 00:00:00-03:00,TOTS3.SA,32.65641034764684,33.212180658836495,32.52225536391874,32.79056167602539,3327900,0.21,0.0
2023-12-06 00:00:00-03:00,TOTS3.SA,32.953456963425005,33.17384894223306,32.867216306034955,32.99178695678711,1934100,0.0,0.0
2023-12-07 00:00:00-03:00,TOTS3.SA,33.22176163893412,33.2505109633894,32.80972697880394,33.154685974121094,1771000,0.0,0.0
2023-12-08 00:00:00-03:00,TOTS3.SA,33.29842145254255,33.42299211025138,32.56058548818959,32.924713134765625,3756400,0.0,0.0
2023-12-11 00:00:00-03:00,TOTS3.SA,32.59891868145277,33.125943377588726,32.26353667092995,32.33061599731445,3949200,0.0,0.0
2023-12-12 00:00:00-03:00,TOTS3.SA,32.54141833545404,32.67556965547987,31.084911500953417,31.190317153930664,8252900,0.0,0.0
2023-12-13 00:00:00-03:00,TOTS3.SA,31.142413601041554,32.71390711789962,30.9986779222813,32.53184509277344,5120500,0.0,0.0
2023-12-14 00:00:00-03:00,TOTS3.SA,32.86722360962273,33.10678063834498,32.071896175046945,32.761817932128906,4693900,0.0,0.0
2023-12-15 00:00:00-03:00,TOTS3.SA,32.76181573176809,33.298424755992066,32.00481834991364,32.50309371948242,3942100,0.0,0.0
2023-12-18 00:00:00-03:00,TOTS3.SA,32.474348011524306,32.65641368034667,32.100639657088806,32.33061599731445,3099500,0.0,0.0
2023-12-19 00:00:00-03:00,TOTS3.SA,32.23478607834266,33.01095199584961,32.23478607834266,33.01095199584961,2109300,0.0,0.0
2023-12-20 00:00:00-03:00,TOTS3.SA,32.780977993494204,32.780977993494204,31.190319708679496,31.679018020629883,5407400,0.0,0.0
2023-12-21 00:00:00-03:00,TOTS3.SA,31.956905364990234,32.301868062522914,31.74609767065921,31.956905364990234,3251200,0.0,0.0
2023-12-22 00:00:00-03:00,TOTS3.SA,32.186881217069825,32.24437621755229,31.410715159631668,31.47779083251953,2187000,0.0,0.0
2023-12-26 00:00:00-03:00,TOTS3.SA,31.698183419264016,32.1293830871582,31.525702089966472,32.1293830871582,1542500,0.0,0.0
2023-12-27 00:00:00-03:00,TOTS3.SA,31.95689665120178,32.56058120727539,31.813164669988407,32.56058120727539,1833100,0.0,0.0
2023-12-28 00:00:00-03:00,TOTS3.SA,32.57974772723181,32.83846969194292,31.86107682148405,32.28269577026367,2839400,0.0,0.0
2024-01-02 00:00:00-03:00,TOTS3.SA,31.746089732895516,31.99522736584715,31.14240516315807,31.621519088745117,2837100,0.0,0.0
2024-01-03 00:00:00-03:00,TOTS3.SA,31.602361640256955,31.8323379878146,31.468210293910843,31.58319664001465,3030700,0.0,0.0
2024-01-04 00:00:00-03:00,TOTS3.SA,31.56402487262585,31.56402487262585,30.577051331523766,30.759113311767578,3736300,0.0,0.0
2024-01-05 00:00:00-03:00,TOTS3.SA,30.577053441421484,31.12324307519071,30.462067112035726,30.931596755981445,2165900,0.0,0.0
2024-01-08 00:00:00-03:00,TOTS3.SA,30.931599005888593,31.353221669886928,30.605803163814663,31.132829666137695,2512800,0.0,0.0
2024-01-09 00:00:00-03:00,TOTS3.SA,30.787866919587124,31.602359264222066,30.739956250258555,31.17115592956543,2537000,0.0,0.0
2024-01-10 00:00:00-03:00,TOTS3.SA,31.257398412364232,31.33405841202324,30.922020052231023,31.084917068481445,1756900,0.0,0.0
2024-01-11 00:00:00-03:00,TOTS3.SA,31.017837648803997,31.429875958812737,30.797445659437617,31.075332641601562,3116600,0.0,0.0
2024-01-12 00:00:00-03:00,TOTS3.SA,30.90285353624184,31.583194550763523,30.682461531059452,31.381967544555664,2009100,0.0,0.0
2024-01-15 00:00:00-03:00,TOTS3.SA,31.37238841185274,31.37238841185274,30.759119380630626,31.084917068481445,1117000,0.0,0.0
2024-01-16 00:00:00-03:00,TOTS3.SA,30.73036980008614,31.037002449024083,30.414154652409543,30.87410545349121,3017200,0.0,0.0
2024-01-17 00:00:00-03:00,TOTS3.SA,30.749532925007518,31.094495547892873,30.58663411171995,30.922014236450195,2378400,0.0,0.0
2024-01-18 00:00:00-03:00,TOTS3.SA,30.969929715588826,30.998675386849662,30.097942352294922,30.097942352294922,2211200,0.0,0.0
2024-01-19 00:00:00-03:00,TOTS3.SA,30.059612589571337,30.50039658386158,29.69548493303391,30.394990921020508,3164000,0.0,0.0
2024-01-22 00:00:00-03:00,TOTS3.SA,30.375828282667772,30.404573952910052,28.986396953811806,29.139713287353516,4855100,0.0,0.0
2024-01-23 00:00:00-03:00,TOTS3.SA,29.149294457591523,29.666736602783203,28.976813133302702,29.666736602783203,3308700,0.0,0.0
2024-01-24 00:00:00-03:00,TOTS3.SA,30.00211672854774,30.35666187571122,29.570915245844606,29.618825912475586,3813800,0.0,0.0
2024-01-25 00:00:00-03:00,TOTS3.SA,29.609243392944336,29.887130376699393,29.350521406898203,29.609243392944336,1434500,0.0,0.0
2024-01-26 00:00:00-03:00,TOTS3.SA,29.829635341884256,30.03086416219717,29.36968636356156,29.590078353881836,1378000,0.0,0.0
2024-01-29 00:00:00-03:00,TOTS3.SA,29.523003336568106,30.270421813475775,29.427180173732538,30.11710548400879,2758800,0.0,0.0
2024-01-30 00:00:00-03:00,TOTS3.SA,29.954208294048925,30.232093471030687,29.676321289392252,29.87755012512207,1959800,0.0,0.0
2024-01-31 00:00:00-03:00,TOTS3.SA,30.011703716598493,30.816615464587155,29.820059193733368,30.203350067138672,3297400,0.0,0.0
2024-02-01 00:00:00-03:00,TOTS3.SA,30.184179913367537,30.682458877563477,29.85838226967594,30.682458877563477,2890300,0.0,0.0
2024-02-02 00:00:00-03:00,TOTS3.SA,30.787868007486118,30.979514346922034,30.040449476895972,30.356664657592773,2723000,0.0,0.0
