Ticker,Nome,PL,PVP,ROE%,ROA%,DividendYield%,MargemLiquida%,EV_EBITDA,MargemOperacional%,LiquidezCorrente,Divida_Patrimonio,LPA
TOTS3.SA,TOTVS S.A.,22.697369,3.6231883,17.014000000000003,7.394,241.0,21.629,15.801,18.529,1.84,92.106,1.52
KLBN11.SA,Klabin S.A.,29.45537,2.5256193,3.6510002,2.09,836.0,0.855,8.558,12.394,2.002,229.751,0.661
POSI3.SA,Positivo Tecnologia S.A.,38.0,0.30340666,0.8109999999999999,3.744,1326.0,0.358,4.933,6.783,1.821,81.442,0.09
MGLU3.SA,Magazine Luiza S.A.,52.636364,0.40219507,0.796,1.8980000000000001,45.0,0.23100001,7.771,3.479,1.099,76.228,0.11
LREN3.SA,Lojas Renner S.A.,7.566667,1.0523876,14.456000999999999,6.2179998,805.0000000000001,9.354,5.278,12.481,1.693,31.713,1.5
